,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude
236,295000,3,Semi-Detached,1,0,51.36963001,-2.3816206380000002
237,375000,3,Semi-Detached,1,0,51.40395986,-2.397950146
238,230000,2,Flat,0,0,51.38190426,-2.3841942659999997
239,321000,3,Detached,1,0,51.3581288,-2.379097874
240,360000,2,Terraced,1,0,51.40361156,-2.4025186659999997
241,330000,3,Terraced,1,0,51.36279334,-2.347939686
242,297905,3,Terraced,1,0,51.37856608,-2.3930026680000003
243,410000,3,Semi-Detached,1,0,51.38674753,-2.401249688
244,237000,2,Flat,0,0,51.35847493,-2.372106544
245,380000,3,Semi-Detached,1,0,51.39895396,-2.3611224319999997
246,492000,3,Terraced,1,0,51.39685745,-2.349750615
247,560000,4,Detached,1,0,51.3958787,-2.355392
248,235000,1,Flat,0,0,51.36948106,-2.377640231
249,450000,5,Detached,1,0,51.3649235,-2.3909610580000002
250,235000,1,Flat,0,0,51.36948106,-2.377640231
251,265000,2,Terraced,1,0,51.37523551,-2.388707121
252,310000,2,Flat,0,0,51.39142477,-2.38482
253,400000,3,Detached,1,0,51.38706278,-2.395805936
254,256000,2,Semi-Detached,1,0,51.37104769,-2.390711568
255,590000,4,Terraced,0,0,51.38645005,-2.3799068230000002
256,365000,2,Terraced,1,0,51.36176805,-2.3480180880000003
257,335000,3,Terraced,1,0,51.35968988,-2.360267611
258,440000,3,Semi-Detached,1,0,51.36760453,-2.371160696
259,690000,4,Terraced,1,0,51.37478981,-2.331925416
260,375000,3,Terraced,1,0,51.37987203,-2.381475965
261,350000,3,Terraced,1,0,51.37950107,-2.37663074
262,287500,2,Flat,0,0,51.38790238,-2.34953858
263,363000,3,Detached,1,0,51.37338817,-2.3926135090000002
264,580000,3,Terraced,0,0,51.39132308,-2.3571962280000003
265,407500,4,Terraced,1,0,51.3781905,-2.384249362
266,875000,5,Detached,1,0,51.40946433,-2.307906998
267,240000,2,Terraced,1,0,51.36926352,-2.397189429
268,497000,3,Detached,1,0,51.41133176,-2.344440494
269,405000,4,Semi-Detached,1,0,51.40451318,-2.323385619
270,575000,5,Detached,1,0,51.37083219,-2.368428606
271,283000,2,Detached,1,0,51.4000954,-2.392224
272,285000,2,Terraced,1,0,51.35577559,-2.3810602480000003
273,450000,3,Semi-Detached,1,0,51.40491096,-2.401178705
274,285000,2,Terraced,1,0,51.3756942,-2.38595251
275,495000,4,Detached,1,0,51.39738883,-2.300883235
276,186000,1,Flat,0,0,51.3755989,-2.373754002
277,220500,2,Flat,0,0,51.3944488,-2.3523768730000003
278,488500,3,Terraced,0,0,51.37606276,-2.360597349
279,465000,3,Terraced,1,0,51.37069706,-2.365640593
280,785000,4,Terraced,1,0,51.39607874,-2.345518849
281,339500,3,Semi-Detached,1,0,51.39760104,-2.3476433080000003
282,359971,3,Terraced,0,0,51.39608697,-2.348810454
283,247000,3,Semi-Detached,1,0,51.35941532,-2.38165059
284,360000,3,Semi-Detached,1,0,51.37234328,-2.393164845
285,510000,4,Terraced,1,0,51.38831614,-2.361340423
286,475000,3,Terraced,1,0,51.3959092,-2.354112921
287,372500,3,Semi-Detached,1,0,51.36777711,-2.364884721
288,695000,5,Semi-Detached,1,0,51.38519104,-2.388187967
289,300000,2,Detached,1,0,51.40516222,-2.398693786
290,370000,2,Terraced,1,0,51.37531253,-2.378923808
291,420000,4,Terraced,0,0,51.37609127,-2.377234901
292,442500,3,Terraced,1,0,51.39985871,-2.344339872
293,387500,2,Flat,0,0,51.39322476,-2.3645123580000003
294,410000,3,Terraced,1,0,51.39923028,-2.347051937
295,1300000,6,Detached,1,0,51.3586799,-2.35533357
296,460000,3,Flat,0,0,51.39259881,-2.332874
297,347500,3,Detached,0,0,51.39657604,-2.359536961
298,248000,2,Terraced,1,0,51.39391449,-2.395793233
299,360000,3,Terraced,1,0,51.375134,-2.378520057
300,396000,2,Terraced,0,0,51.39985871,-2.344339872
301,602000,3,Terraced,1,0,51.37211007,-2.350510044
302,499950,3,Terraced,0,0,51.38981024,-2.3489926359999997
303,425000,2,Flat,0,0,51.38399276,-2.357886347
304,270000,2,Flat,0,0,51.3985316,-2.343093709
305,247500,3,Semi-Detached,1,0,51.36080576,-2.382653167
306,225000,3,Semi-Detached,0,0,51.36552583,-2.388294487
307,550000,4,Terraced,1,0,51.37914339,-2.349902861
308,320000,3,Terraced,1,0,51.37563468,-2.393035019
309,629000,3,Detached,0,0,51.40630491,-2.309179668
310,630000,3,Detached,1,0,51.39164599,-2.326672283
311,380000,4,Detached,1,0,51.37715126,-2.388550945
312,315000,3,Terraced,1,0,51.37594049,-2.379374381
313,195000,2,Terraced,1,0,51.3634478,-2.383120462
314,827000,1,Semi-Detached,1,0,51.38809288,-2.38906
315,365000,2,Flat,0,0,51.38423487,-2.358103784
316,257500,3,Terraced,1,0,51.35912422,-2.382682232
317,510000,3,Flat,0,0,51.38631184,-2.34617813
318,518500,3,Terraced,1,0,51.40748941,-2.32011427
319,207000,2,Terraced,1,0,51.36197113,-2.3837401
320,318000,2,Terraced,1,0,51.37487967,-2.3848250369999997
321,245000,2,Semi-Detached,1,0,51.37711404,-2.391625301
322,265000,3,Semi-Detached,1,0,51.35805732,-2.381725467
323,920000,5,Semi-Detached,1,0,51.37007922,-2.361915027
324,545000,2,Flat,0,0,51.39029841,-2.363109
325,305000,2,Terraced,1,0,51.39698309,-2.352827574
326,287500,3,Terraced,1,0,51.37542103,-2.389700023
327,325000,2,Terraced,1,0,51.37823418,-2.381893381
